lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.657781
# Diagonal elements of inverse mass matrix:
# 0.000161828, 0.000164222, 0.000155247, 0.000181325, 0.000167208, 0.000141105, 0.000141401, 0.000143922, 0.00015362, 0.000141104, 0.000181518, 0.000129587, 0.000158459, 0.000166349, 0.000161346, 0.000179709, 0.000148532, 0.000135879, 0.000125797, 0.000138347, 0.000171386, 0.000140385, 0.000196759
43.1714,0.954045,0.657781,3,7,0,-30.5373,6.72359,0.0416564,-0.0824344,0.0259375,-0.193101,0.871074,-0.163058,-0.186507,0.0915949,-0.0240385,0.0346453,-0.106942,0.00745055,0.037711,0.0297065,0.0248371,0.0179718,0.0140137,0.0227642,-0.0242669,0.0187353,-0.00471382,0.584847,0.200603,-0.0143368,0.0426708,-0.0624232,1.16771,-0.636896,-2.43713,0.485383,-0.513505,0.431687,-0.0970245,0.0690966,0.107156,0.100148,0.0786636,0.0566825,0.0436049,0.0427346,-0.119166,0.282713,-0.053279
40.6875,0.771924,0.657781,3,7,0,-29.2237,6.70651,0.0430421,-0.086401,0.034434,-0.179187,0.865553,-0.149634,-0.175567,0.0973673,-0.0187489,0.0435818,-0.10141,0.00161038,0.0316389,0.0299842,0.0281353,0.0300454,0.00074593,0.0194547,-0.0280329,0.0244656,-0.0198776,0.591504,0.286078,-0.0199073,0.076524,-0.00883615,1.14782,-0.592547,-2.19919,0.541161,-0.474607,0.514306,-0.100435,0.0498848,0.0916236,0.0853866,0.0610483,0.0602404,-0.0606419,-0.0080394,-0.168053,0.334725,-0.224671
39.7929,0.863619,0.657781,3,7,0,-27.1412,6.72765,0.0311554,-0.0802329,0.0139957,-0.203098,0.857742,-0.132239,-0.21,0.0957693,-0.00348339,0.00880576,-0.0972107,0.0109416,0.0780063,0.00792474,0.0136987,0.0274895,0.019875,0.02775,-0.0193376,0.0117951,-0.0113102,0.596298,0.148537,-0.0118728,-0.0106594,-0.0725769,1.14413,-0.529408,-2.6486,0.66646,-0.276101,0.232427,-0.0899747,0.130792,0.215665,0.0442545,0.0563936,0.095771,0.0725945,0.0563976,-0.116073,0.157038,-0.127836
45.3356,0.988161,0.657781,3,7,0,-31.5611,6.71072,0.037314,-0.0790567,0.0211311,-0.188278,0.858124,-0.150613,-0.16303,0.0790586,-0.0261595,0.033457,-0.10364,0.00135974,0.0500581,0.0244475,-0.00486609,0.0261461,0.0219281,0.0333208,-0.0292112,0.0160049,-0.0272403,0.601635,0.167972,-0.0123424,0.0307574,-0.0619643,1.13883,-0.593802,-2.13621,0.41704,-0.553836,0.475043,-0.104827,0.0724628,0.141227,0.0543055,-0.0321636,0.0535469,0.0370278,0.0243668,-0.201012,0.18322,-0.307889
43.8801,0.800604,0.657781,3,7,0,-32.9454,6.74377,0.0330525,-0.0768572,0.0350491,-0.187125,0.861033,-0.157134,-0.193162,0.0902705,0.000625718,0.0276492,-0.0943859,0.030089,0.0571608,0.00715448,0.0234409,0.00547067,0.0426404,0.0561529,-0.00914268,0.028759,-0.0258502,0.586194,0.079145,-0.00683436,0.0528556,-0.036848,1.149,-0.623534,-2.39359,0.573834,-0.299435,0.406182,-0.0765367,0.140713,0.160192,0.0740025,0.122689,0.07448,0.235963,0.19434,-0.0764198,0.387227,-0.292177
43.8498,0.858854,0.657781,3,7,0,-32.2132,6.70735,0.0274384,-0.111425,0.0251149,-0.173137,0.860062,-0.159868,-0.166248,0.111625,-0.0399052,0.0257758,-0.118286,0.00753407,0.0539444,0.00812033,-0.00765723,0.0282545,0.000480953,0.0269884,-0.0062311,0.0147122,-0.0335042,0.606632,0.698462,-0.0502352,0.0577862,-0.0629336,1.17821,-0.623715,-2.01918,0.639684,-0.6755,0.409298,-0.114498,0.090169,0.149547,0.0198434,-0.0241176,0.0796649,-0.0312983,0.0445406,-0.0945615,0.147167,-0.378688
41.7922,0.747286,0.657781,3,7,0,-31.7223,6.74291,0.0336846,-0.0718584,0.0403146,-0.193171,0.854898,-0.158024,-0.192913,0.0987223,0.00206762,0.0430056,-0.0812603,0.017417,0.0605669,-0.00311975,0.0246547,0.00844571,0.0451366,0.0457581,-0.0112786,0.0329211,-0.0242822,0.585703,-0.0297174,0.00074417,0.0729103,-0.0304483,1.13815,-0.66523,-2.33877,0.63848,-0.318501,0.56303,-0.0668053,0.119872,0.168989,0.0435561,0.120605,0.0762543,0.236688,0.151152,-0.0794589,0.456598,-0.274455
44.7252,1,0.657781,3,7,0,-36.0815,6.73986,0.0336311,-0.0739516,0.0450381,-0.204746,0.865539,-0.156597,-0.193274,0.102242,-0.0106468,0.0267104,-0.0883572,0.0255224,0.0604813,-0.000754647,0.0186791,0.00665114,0.0400333,0.0356834,-0.0119906,0.0296453,-0.0206686,0.585928,-0.0435079,0.00170119,0.0867098,-0.0797449,1.15713,-0.647664,-2.38603,0.657649,-0.387549,0.390227,-0.0758247,0.136235,0.168052,0.0362682,0.0895676,0.0561352,0.20068,0.109714,-0.078543,0.414172,-0.233611
43.7471,0.911733,0.657781,3,7,0,-34.5285,6.71367,0.032416,-0.110926,0.017342,-0.157484,0.843207,-0.159407,-0.176105,0.0954885,-0.0313488,0.0253868,-0.121064,0.00268666,0.0425117,0.014714,-0.0044777,0.0342183,0.014864,0.0388953,-0.00648093,0.0148339,-0.0398487,0.605332,0.781815,-0.0553111,0.0331812,-0.0295,1.15359,-0.588974,-2.22797,0.522468,-0.597708,0.390426,-0.114592,0.065311,0.120064,0.0515794,0.00137178,0.114015,0.0424717,0.0821864,-0.110517,0.133149,-0.450399
47.1268,0.843298,0.657781,3,7,0,-33.4585,6.7352,0.0256119,-0.0722042,0.0423561,-0.203673,0.861093,-0.160996,-0.197676,0.104071,-0.011544,0.0274399,-0.0948568,0.014629,0.0634211,-0.0029501,0.0185389,0.0135888,0.0353366,0.0346251,-0.0192371,0.0303618,-0.0285126,0.591722,-0.0367062,0.000365011,0.0842784,-0.0819727,1.15963,-0.665968,-2.43588,0.680409,-0.40703,0.406284,-0.0888044,0.118273,0.176676,0.0152536,0.0656751,0.049043,0.142453,0.0695391,-0.134609,0.405739,-0.32227
