lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.600951
# Diagonal elements of inverse mass matrix:
# 0.000197691, 0.00015007, 0.000137185, 0.000153861, 0.000136679, 0.000153916, 0.000165121, 0.000177654, 0.000147179, 0.000127251, 0.000142302, 0.000148027, 0.000148924, 0.000132624, 0.000144717, 0.000161654, 0.000135543, 0.000125658, 0.000130113, 0.000141092, 0.000119325, 0.000186192, 0.000715687
2473.64,0.917051,0.600951,3,7,0,-2461.94,-1.44376,0.0226986,0.016587,-0.0100964,0.0387877,-0.118599,-0.152589,-0.204028,0.123518,-0.010948,0.0344015,-0.0915408,0.0171528,0.0426891,-0.00126484,-0.00332325,0.0225269,0.0272926,0.0373853,-0.0105808,0.0220061,-0.0176125,15.4335,0.453479,-0.0325147,0.0380188,-0.0297542,0.112458,-0.643297,-2.4006,0.8078,-0.408124,0.477058,-0.0796679,0.093994,0.119267,0.0263245,0.0309189,0.110908,0.141816,0.119359,-0.0725393,0.301745,-0.199069
2475.35,0.66076,0.600951,3,7,0,-2457.46,-1.43218,0.0261874,0.0339677,0.0220311,0.0350413,-0.0601603,-0.142466,-0.188585,0.0983765,-0.024243,0.0284662,-0.100549,0.0200093,0.0658165,0.00811901,-0.00250247,0.0180955,0.0194837,0.0427234,0.011504,0.0374593,-0.0198419,16.0097,0.037441,-0.00358545,0.134054,-0.0400954,0.176778,-0.547683,-2.39127,0.538905,-0.554568,0.462507,-0.0753808,0.131471,0.181187,0.0827452,0.0806118,0.154077,0.177351,0.214019,0.0574237,0.539096,-0.224267
2471.85,0.752163,0.600951,3,7,0,-2465.89,-1.44364,0.0252319,0.0217663,-0.0155836,0.0461537,-0.110734,-0.135364,-0.187147,0.110547,-0.0184274,0.0203147,-0.0867435,0.028201,0.0541195,0.0167236,0.0116198,0.0327662,0.0326515,0.0333586,-0.0102122,0.0280096,0.00315902,15.516,0.362628,-0.0265428,0.0236952,-0.0236774,0.103249,-0.534018,-2.27185,0.648286,-0.430955,0.32343,-0.0642586,0.133967,0.15103,0.111062,0.116869,0.188403,0.21047,0.153382,-0.0154715,0.448289,0.0357055
2472.82,0.916238,0.600951,3,7,0,-2462.66,-1.42804,0.0258673,0.032017,0.0271713,0.0269675,-0.066264,-0.154066,-0.195928,0.11043,-0.016968,0.0397245,-0.102418,0.00694219,0.0558506,-0.00944428,-0.0101778,0.00734156,0.0168596,0.0459724,0.0141702,0.0391141,-0.0396218,15.5315,0.0731043,-0.00560619,0.145687,-0.0506751,0.181015,-0.625216,-2.37611,0.683985,-0.524026,0.581738,-0.0844773,0.0899064,0.153522,0.0124795,0.0295007,0.0903519,0.13836,0.195047,0.027481,0.515443,-0.447834
2472.32,0.900512,0.600951,3,7,0,-2462.78,-1.44703,0.023652,0.0194243,-0.0156546,0.0438408,-0.108737,-0.137576,-0.191678,0.110024,-0.0216904,0.0206392,-0.0864559,0.0278947,0.049358,0.01803,0.0136496,0.0351878,0.0346421,0.0349883,-0.00925976,0.0288033,-0.00136143,15.5661,0.392235,-0.0287562,0.025518,-0.0291157,0.106316,-0.535807,-2.36051,0.625969,-0.457594,0.317694,-0.064334,0.127238,0.138546,0.116701,0.123604,0.19581,0.216866,0.154266,-0.0200169,0.449417,-0.0153879
2475.61,0.915255,0.600951,3,7,0,-2464.09,-1.42596,0.0315103,0.0215689,0.0174579,0.0310428,-0.0685693,-0.164623,-0.195684,0.112577,-0.0113713,0.0359389,-0.0985597,0.018548,0.0591038,-0.00951896,-0.0120179,0.0173175,0.0262733,0.0385138,0.00429134,0.0408204,-0.0303768,15.4013,0.243395,-0.0173442,0.116385,-0.0389243,0.180012,-0.683774,-2.33874,0.726652,-0.458827,0.537483,-0.082199,0.118885,0.162776,0.0120665,0.0249596,0.119676,0.169708,0.157328,-0.00173749,0.565485,-0.343341
2474.66,0.715935,0.600951,3,7,0,-2464.62,-1.43579,0.0377338,0.0355761,0.0151947,0.031025,-0.0819727,-0.163602,-0.184967,0.116368,-0.000706924,0.0327522,-0.111144,0.0170003,0.0565245,-0.00725807,-0.00327456,0.00933567,0.0192157,0.0397731,0.00486917,0.0438705,-0.0193355,15.6647,0.0936758,-0.00625958,0.0981508,-0.057047,0.171202,-0.664895,-2.08769,0.788176,-0.363702,0.500241,-0.088254,0.111715,0.155368,0.0292336,0.0609736,0.109334,0.161993,0.191058,0.0304737,0.641162,-0.218544
2471.47,0.688609,0.600951,3,7,0,-2461.36,-1.43226,0.0133489,0.0297674,-0.00417434,0.04241,-0.0827181,-0.131744,-0.200337,0.120694,-0.0404286,0.0407734,-0.078347,0.0388948,0.0445551,0.013159,0.00516955,0.031439,0.0180436,0.0380232,0.00500387,0.0110033,-0.0156694,15.4654,0.16579,-0.0135907,0.0750923,-0.00493043,0.137805,-0.532698,-2.53251,0.621883,-0.666742,0.526595,-0.0609525,0.142293,0.124368,0.0883281,0.0831724,0.167532,0.130646,0.156924,0.00263048,0.133643,-0.177107
2469.86,0.889321,0.600951,3,7,0,-2461.72,-1.42843,0.0434425,0.0174966,0.0128901,0.0428193,-0.102005,-0.157964,-0.183419,0.0935927,0.00605698,0.027412,-0.099645,0.00932372,0.0644816,0.00146143,0.00336702,0.00495072,0.0265348,0.0363043,0.000575189,0.057593,-0.015256,15.4006,0.3747,-0.025382,0.0906653,-0.023449,0.126973,-0.641893,-2.19608,0.637157,-0.280504,0.446214,-0.0754743,0.107456,0.1775,0.0591332,0.0856042,0.102457,0.203692,0.187511,0.0325646,0.867146,-0.172434
2468.93,0.874542,0.600951,3,7,0,-2459.09,-1.44031,0.0156752,0.0254671,0.00408546,0.0386473,-0.083961,-0.126891,-0.173863,0.110958,-0.0226767,0.0548634,-0.0954379,0.0210845,0.0527349,0.0088162,8.22604e-05,0.0453817,0.0497669,0.0423187,0.00389625,0.0128688,-0.0319554,15.0204,0.270935,-0.0209459,0.0867799,-0.0295631,0.136021,-0.475538,-2.07829,0.592675,-0.595795,0.690669,-0.07909,0.118497,0.148139,0.0831053,0.0784164,0.216538,0.261262,0.139907,-0.0390599,0.122075,-0.361183
