lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.562885
# Diagonal elements of inverse mass matrix:
# 0.000147605, 0.000130527, 0.000148545, 0.000154314, 0.000151027, 0.000139874, 0.000153675, 0.000148763, 0.000124332, 0.000121542, 0.000152069, 0.000142715, 0.000151744, 0.000174216, 0.000173433, 0.000160349, 0.000158788, 0.000125449, 0.000152043, 0.000168231, 0.000136373, 0.000161447, 0.000192753
46.9755,1,0.562885,3,7,0,-34.3644,6.71854,0.158193,-0.12947,0.000734927,-0.141074,0.854552,-0.143452,-0.198857,0.0947357,-0.0281309,0.0361134,-0.10038,0.0360817,0.0597473,0.000724274,0.00612737,0.00392808,0.0359824,0.0489847,-0.0216,0.0175315,-0.0296201,0.59415,-0.054925,0.00153332,-0.011501,-0.0683138,1.17007,-0.572015,-2.64157,0.521525,-0.588316,0.50369,-0.0942394,0.151613,0.162901,0.0101724,0.0187576,0.0108817,0.142857,0.109661,-0.163687,0.202227,-0.334576
44.0535,0.866386,0.562885,3,7,0,-33.1853,6.71974,0.16299,-0.132895,0.011104,-0.115427,0.849699,-0.13851,-0.176072,0.125871,-0.0378277,0.0309913,-0.106758,0.00595603,0.0789928,0.00648179,0.0101505,0.0137798,0.0259245,0.0384418,-0.0177625,0.00542822,-0.0349013,0.581881,0.0436952,-0.00783442,0.04433,-0.0310743,1.16897,-0.550308,-2.11889,0.739784,-0.670665,0.467927,-0.104682,0.116304,0.213809,0.0157801,0.0125222,0.0182725,0.0678405,0.0503849,-0.169028,-0.00118185,-0.394229
42.9359,0.959379,0.562885,3,7,0,-32.7976,6.73201,0.144478,-0.125057,0.0442079,-0.161211,0.847948,-0.171492,-0.17592,0.0693683,-0.00688896,0.0236288,-0.0755033,0.0260362,0.0376698,-0.00238311,0.00334948,0.0154539,0.0206648,0.0263175,-0.000441028,0.0358642,-0.012853,0.609299,-0.217718,0.0165079,0.093864,-0.0930999,1.14086,-0.704725,-2.35246,0.41261,-0.306124,0.33785,-0.0591718,0.102748,0.101273,0.0354261,0.0648039,0.108667,0.14397,0.124337,0.0090921,0.532065,-0.145182
44.8633,0.89768,0.562885,3,7,0,-30.1177,6.71161,0.148516,-0.138217,0.0481369,-0.178604,0.848937,-0.165624,-0.165999,0.0932888,-0.0155237,0.026104,-0.102746,0.0111293,0.0564411,0.0252948,0.0200902,0.0137958,0.02522,0.043917,-0.000502439,0.0137379,-0.028975,0.600197,-0.080425,0.00222926,0.109721,-0.169998,1.15354,-0.628681,-2.07894,0.527446,-0.427262,0.375341,-0.0873128,0.09588,0.150425,0.106921,0.0950118,0.0799381,0.136239,0.143021,-0.0534355,0.144175,-0.32729
47.6307,1,0.562885,3,7,0,-36.179,6.73316,0.152486,-0.137216,0.0385255,-0.15033,0.845938,-0.179971,-0.189283,0.104614,-0.012775,0.00291933,-0.099399,0.0161046,0.0629913,-0.00713634,0.0251403,0.0146153,0.0260278,0.0448821,-0.00354796,0.00826411,-0.0293133,0.59641,-0.0244009,-0.00191847,0.0926924,-0.108843,1.16535,-0.710346,-2.31949,0.697356,-0.330452,0.140395,-0.0871257,0.115265,0.169052,0.0195011,0.101753,0.0725455,0.127573,0.13227,-0.0767825,0.0572652,-0.33111
48.739,0.92801,0.562885,3,7,0,-36.8344,6.71119,0.159017,-0.117754,0.0091,-0.132754,0.858228,-0.15985,-0.169347,0.0763758,-0.0299921,0.0344569,-0.0714499,0.0154172,0.0499909,0.00797532,0.023217,0.018111,0.0249852,0.0262421,-0.00872812,0.0338369,-0.0242847,0.592943,-0.182496,0.0140896,0.0208405,-0.0282182,1.14371,-0.64362,-2.32664,0.348153,-0.54215,0.440788,-0.0616918,0.0976461,0.134052,0.0555598,0.0942053,0.081664,0.119337,0.074967,-0.06385,0.471844,-0.27431
41.6625,0.849189,0.562885,3,7,0,-35.7125,6.71573,0.15374,-0.125998,-0.0118328,-0.122553,0.849969,-0.165208,-0.169012,0.0835359,-0.0471247,0.0340647,-0.0688005,0.016615,0.0535206,0.0132848,0.000553644,0.00975755,0.0258404,0.0468209,-0.0114676,0.0357743,-0.0403789,0.608795,-0.0640008,0.00187375,-0.0267319,-0.0161086,1.13968,-0.685063,-2.33667,0.350357,-0.716095,0.483149,-0.0635853,0.103362,0.144771,0.0486668,0.0151347,0.0438881,0.11277,0.124986,-0.113216,0.462403,-0.456102
42.7629,0.892136,0.562885,3,7,0,-27.4516,6.70532,0.121255,-0.131861,0.0216378,-0.148973,0.859469,-0.166221,-0.163303,0.0782425,-0.0330618,0.035689,-0.109147,0.0145707,0.0427559,0.00453812,9.81564e-05,0.037218,0.0335076,0.0247911,-0.00591259,0.0400294,-0.0432539,0.597812,-0.0968441,0.00154021,0.0518409,-0.116062,1.18039,-0.614688,-2.20982,0.364939,-0.633541,0.470852,-0.101956,0.0869543,0.114803,0.0340523,0.0252159,0.135764,0.13638,0.0430907,-0.0851719,0.522182,-0.488577
43.3263,0.882002,0.562885,3,7,0,-28.1966,6.74816,0.181846,-0.125207,0.0287704,-0.126616,0.839186,-0.150849,-0.184266,0.116969,-0.0128476,0.0143426,-0.0815626,0.015685,0.0681619,0.0079291,0.0124128,0.0171755,0.012048,0.0440792,-0.0294862,0.00293059,-0.00326505,0.592973,-0.0773027,0.00670714,0.0775149,-0.0133274,1.13569,-0.65033,-2.17799,0.769615,-0.343558,0.28552,-0.0747065,0.120951,0.185411,0.0334438,0.0391359,0.0533541,0.0340208,0.106544,-0.162211,0.0379855,-0.0368806
41.0873,0.913268,0.562885,3,7,0,-30.8478,6.70446,0.119289,-0.135877,0.0215425,-0.152316,0.861144,-0.161746,-0.164777,0.0875162,-0.0503981,0.0427201,-0.101147,0.0088325,0.0526442,0.00136313,0.00263433,0.0247784,0.0308077,0.0275171,0.00576008,0.0409339,-0.0482657,0.599053,-0.0753976,-0.00138478,0.0626408,-0.128366,1.18408,-0.606742,-2.26092,0.361612,-0.814669,0.559399,-0.0912032,0.0880105,0.140719,0.032706,0.0416043,0.109802,0.148297,0.0774685,-0.0330527,0.523978,-0.545189
